name,coreName,curricularObjectiveName,levelNames,classroomNames,position
Golpea objetos que se encuentran cerca. (3 meses),Corporalidad y Movimiento,"Coordinar movimientos de manipulación ubicando objetos en relación a su propio cuerpo, tales como: acercar objetos pequeños utilizando índice y pulgar en oposición.",Sala Cuna Menor,,
Transfiere objetos de una mano a otra. (6 meses),Corporalidad y Movimiento,"Coordinar movimientos de manipulación ubicando objetos en relación a su propio cuerpo, tales como: acercar objetos pequeños utilizando índice y pulgar en oposición.",Sala Cuna Menor,,
Acerca o aleja objetos. (9 meses),Corporalidad y Movimiento,"Coordinar movimientos de manipulación ubicando objetos en relación a su propio cuerpo, tales como: acercar objetos pequeños utilizando índice y pulgar en oposición.",Sala Cuna Menor,,
Manipula objetos mientras está en movimiento (sin soltarlos). (12 meses),Corporalidad y Movimiento,"Coordinar movimientos de manipulación ubicando objetos en relación a su propio cuerpo, tales como: acercar objetos pequeños utilizando índice y pulgar en oposición.",Sala Cuna Menor,,
Alcanza objetos que se encuentran en distintas alturas. (15 meses),Corporalidad y Movimiento,"Coordinar movimientos de manipulación ubicando objetos en relación a su propio cuerpo, tales como: acercar objetos pequeños utilizando índice y pulgar en oposición.",Sala Cuna Menor,,
Comienza a levantar la cabeza. (3 meses),Corporalidad y Movimiento,"Explorar la alternancia de posturas y movimientos en acciones tales como: trepar, lanzar objetos o hacer ronda, adquiriendo control gradual de su cuerpo al jugar.",Sala Cuna Menor,,
Cambia de posición desde acostado a sentado. (6 meses),Corporalidad y Movimiento,"Explorar la alternancia de posturas y movimientos en acciones tales como: trepar, lanzar objetos o hacer ronda, adquiriendo control gradual de su cuerpo al jugar.",Sala Cuna Menor,,
Pasa de 4 apoyos a posición bípeda con apoyo. (9 meses),Corporalidad y Movimiento,"Explorar la alternancia de posturas y movimientos en acciones tales como: trepar, lanzar objetos o hacer ronda, adquiriendo control gradual de su cuerpo al jugar.",Sala Cuna Menor,,
Trepa objetos voluminosos. (12 meses),Corporalidad y Movimiento,"Explorar la alternancia de posturas y movimientos en acciones tales como: trepar, lanzar objetos o hacer ronda, adquiriendo control gradual de su cuerpo al jugar.",Sala Cuna Menor,,
Realiza intentos de salto. (15 meses),Corporalidad y Movimiento,"Explorar la alternancia de posturas y movimientos en acciones tales como: trepar, lanzar objetos o hacer ronda, adquiriendo control gradual de su cuerpo al jugar.",Sala Cuna Menor,,
Responde indicando si una experiencia le parece agradable. (18 meses),Corporalidad y Movimiento,"Manifestar su agrado, al sentirse cómodo, seguro y contenido corporalmente.",Sala Cuna Mayor,,1
Expresa gestual o verbalmente su emoción. (24 meses),Corporalidad y Movimiento,"Manifestar su agrado, al sentirse cómodo, seguro y contenido corporalmente.",Sala Cuna Mayor,,1
Resuelve qué partes de su cuerpo utilizar según objetivo. (18 meses),Corporalidad y Movimiento,"Descubrir partes de su cuerpo y algunas de sus características físicas, a través de diversas experiencias sensoriomotrices.",Sala Cuna Mayor,,1
Reconoce al menos 1 función que realiza su cuerpo. (24 meses),Corporalidad y Movimiento,"Descubrir partes de su cuerpo y algunas de sus características físicas, a través de diversas experiencias sensoriomotrices.",Sala Cuna Mayor,,1
Reitera movimientos que le provocan satisfacción. (18 meses),Corporalidad y Movimiento,Manifestar interés y satisfacción al moverse libremente en situaciones cotidianas y lúdicas.,Sala Cuna Mayor,,1
Se involucra en diversos juegos. (24 meses),Corporalidad y Movimiento,Manifestar interés y satisfacción al moverse libremente en situaciones cotidianas y lúdicas.,Sala Cuna Mayor,,1
Recepciona un objeto. (18 meses),Corporalidad y Movimiento,"Ampliar sus posibilidades de exploración sensoriomotriz, adquiriendo control de la prensión palmar voluntaria (toma objetos, se pasa objetos de una mano a otra, entre otros) y la postura sedente.",Sala Cuna Mayor,,1
"Realiza juegos basados en deportes (volaibol, basquetbal). (24 meses)",Corporalidad y Movimiento,"Ampliar sus posibilidades de exploración sensoriomotriz, adquiriendo control de la prensión palmar voluntaria (toma objetos, se pasa objetos de una mano a otra, entre otros) y la postura sedente.",Sala Cuna Mayor,,1
Sube y baja escaleras. (18 meses),Corporalidad y Movimiento,"Adquirir desplazamiento gradual en sus distintas formas (girar, reptar, ponerse de pie, caminar), para disfrutar la ampliación de sus posibilidades de movimiento, exploración y juego.",Sala Cuna Mayor,,1
Cambia de direcciones y velocidad al desplazarse. (24 meses),Corporalidad y Movimiento,"Adquirir desplazamiento gradual en sus distintas formas (girar, reptar, ponerse de pie, caminar), para disfrutar la ampliación de sus posibilidades de movimiento, exploración y juego.",Sala Cuna Mayor,,1
Apila o alinea objetos. (18 meses),Corporalidad y Movimiento,"Coordinar movimientos de manipulación ubicando objetos en relación a su propio cuerpo, tales como: acercar objetos pequeños utilizando índice y pulgar en oposición.",Sala Cuna Mayor,,1
Posiciona pelotas cerca o lejos respecto a su cuerpo para chutear con o sin carrera. (24 meses),Corporalidad y Movimiento,"Coordinar movimientos de manipulación ubicando objetos en relación a su propio cuerpo, tales como: acercar objetos pequeños utilizando índice y pulgar en oposición.",Sala Cuna Mayor,,2
Combina acciones motrices. (18 meses),Corporalidad y Movimiento,"Explorar la alternancia de posturas y movimientos en acciones tales como: trepar, lanzar objetos o hacer ronda, adquiriendo control gradual de su cuerpo al jugar.",Sala Cuna Mayor,,1
Es capaz de trepar. (24 meses),Corporalidad y Movimiento,"Explorar la alternancia de posturas y movimientos en acciones tales como: trepar, lanzar objetos o hacer ronda, adquiriendo control gradual de su cuerpo al jugar.",Sala Cuna Mayor,,2
Expresa gestualmente cuando una experiencia le agrada.,Corporalidad y Movimiento,"Reconocer situaciones en que se siente cómodo corporalmente, manifestando al adulto su bienestar y su interés por mantener estas condiciones.","Nivel Medio Menor, Nivel Medio Mayor",,1
Expresa verbalmente cuando una experiencia le agrada.,Corporalidad y Movimiento,"Reconocer situaciones en que se siente cómodo corporalmente, manifestando al adulto su bienestar y su interés por mantener estas condiciones.","Nivel Medio Menor, Nivel Medio Mayor",,2
Reconoce 3 partes de su cuerpo.,Corporalidad y Movimiento,"Reconocer las principales partes, características físicas de su cuerpo y sus funciones en situaciones cotidianas y de juego","Nivel Medio Menor, Nivel Medio Mayor",,1
Reconoce de 3 a 5 partes de su cuerpo indicando su función.,Corporalidad y Movimiento,"Reconocer las principales partes, características físicas de su cuerpo y sus funciones en situaciones cotidianas y de juego","Nivel Medio Menor, Nivel Medio Mayor",,2
Recorre circuitos con distintas dificultades.,Corporalidad y Movimiento,"Experimentar diversas posibilidades de acción con su cuerpo, en situaciones cotidianas y de juego, identificando progresivamente el vocabulario asociado.","Nivel Medio Menor, Nivel Medio Mayor",,1
Menciona las acciones motrices ejecutadas.,Corporalidad y Movimiento,"Experimentar diversas posibilidades de acción con su cuerpo, en situaciones cotidianas y de juego, identificando progresivamente el vocabulario asociado.","Nivel Medio Menor, Nivel Medio Mayor",,3
Identifica los beneficios que le produce realizar el movimiento libre.,Corporalidad y Movimiento,"Reconocer el bienestar que le produce el movimiento libre en situaciones cotidianas y lúdicas, manifestando su interés por desarrollarlo en forma frecuente.","Nivel Medio Menor, Nivel Medio Mayor",,1
Manifiesta en qué situaciones le agrada realizar el movimiento libre.,Corporalidad y Movimiento,"Reconocer el bienestar que le produce el movimiento libre en situaciones cotidianas y lúdicas, manifestando su interés por desarrollarlo en forma frecuente.","Nivel Medio Menor, Nivel Medio Mayor",,2
Inserta argollas en una base.,Corporalidad y Movimiento,"Perfeccionar su coordinación visomotriz fina, a través del uso de diversos objetos, juguetes y utensilios.","Nivel Medio Menor, Nivel Medio Mayor",,1
Utiliza bloques para construir torres o caminos.,Corporalidad y Movimiento,"Perfeccionar su coordinación visomotriz fina, a través del uso de diversos objetos, juguetes y utensilios.","Nivel Medio Menor, Nivel Medio Mayor",,2
Camina sobre diferentes superficies y alturas.,Corporalidad y Movimiento,"Adquirir control y equilibrio en movimientos, posturas y desplazamientos que realiza en diferentes direcciones y en variadas situaciones cotidianas y juegos, con y sin implementos.","Nivel Medio Menor, Nivel Medio Mayor",,1
"Participa de juegos con variaciones de velocidad, entre otras.",Corporalidad y Movimiento,"Adquirir control y equilibrio en movimientos, posturas y desplazamientos que realiza en diferentes direcciones y en variadas situaciones cotidianas y juegos, con y sin implementos.","Nivel Medio Menor, Nivel Medio Mayor",,2
Esquiva obstáculos.,Corporalidad y Movimiento,"Resolver desafíos prácticos en situaciones cotidianas y juegos, incorporando mayor precisión y coordinación en la realización de posturas, movimientos y desplazamientos, tales como: esquivar obstáculos o mantener equilibrio al subir escalas.","Nivel Medio Menor, Nivel Medio Mayor",,1
Varia velocidades al correr.,Corporalidad y Movimiento,"Resolver desafíos prácticos en situaciones cotidianas y juegos, incorporando mayor precisión y coordinación en la realización de posturas, movimientos y desplazamientos, tales como: esquivar obstáculos o mantener equilibrio al subir escalas.","Nivel Medio Menor, Nivel Medio Mayor",,2
Se ubica espacialmente respecto a un espacio.,Corporalidad y Movimiento,"Utilizar categorías de ubicación espacial y temporal, tales como: adelante/atrás, arriba/ abajo, adentro/afuera, antes/ después, rápido/lento, en situaciones cotidianas y lúdicas.","Nivel Medio Menor, Nivel Medio Mayor",,1
Reconoce los momentos de la experiencia.,Corporalidad y Movimiento,"Utilizar categorías de ubicación espacial y temporal, tales como: adelante/atrás, arriba/ abajo, adentro/afuera, antes/ después, rápido/lento, en situaciones cotidianas y lúdicas.","Nivel Medio Menor, Nivel Medio Mayor",,2
"Juega representando emociones, sentimientos y experiencias cotidianas. Ejemplo: juega que va al doctor, simulando que le duele al recibir una inyección, entre otros.",Identidad y Autonomía,"Representar verbal y corporalmente diferentes emociones y sentimientos, en sus juegos.",Nivel Medio Mayor,,1
"Explora su medio con confianza al separarse de sus adultos significativos. Ejemplo: en el patio se aleja de sus tías para llevar a cabo juegos con sus compañeros, llega al jardín infantil y se separa de su familiar sin llantos, entre otros.",Identidad y Autonomía,Manifestar disposición y confianza al separarse de los adultos significativos,Nivel Medio Mayor,,1
"Nombra o señala las emociones que identifica en personas o personajes de cuentos. Ejemplo: dice que su amiga tiene miedo, señala que el gato está feliz, entre otros.",Identidad y Autonomía,"Reconocer en sí mismo, en otras personas y en personajes de cuentos, emociones tales como: tristeza, miedo, alegría, pena y rabia",Nivel Medio Mayor,,1
"Nombra o demuestra en su actuar formas para regular sus emociones en distintas situaciones. Ejemplo: si tiene pena busca un abrazo, si tiene rabia busca algo que lo calme, entre otros.",Identidad y Autonomía,"Manifestar disposición para regular sus emociones y sentimientos, en función de las necesidades propias, de los demás y de algunos acuerdos para el funcionamiento grupal.",Nivel Medio Mayor,,1
"Dice, toma, comenta o señala lo que quiere hacer y lo que le interesa. Ejemplo: dice a qué quiere jugar, escoge los materiales que quiere utilizar, habla de un tema que le interesa, entre otros.",Identidad y Autonomía,"Manifestar sus preferencias cuando participa o cuando solicita participar, en diversas situaciones cotidianas y juegos.",Nivel Medio Mayor,,1
Se evidencia en su actuar que ha ido ampliando su independencia.,Identidad y Autonomía,"Actuar con progresiva independencia, ampliando su repertorio de acciones, acorde a sus necesidades e intereses.",Nivel Medio Mayor,,1
"Nombra características corporales y rasgos de su identidad. Ejemplo: dice que tiene el pelo corto y que tiene tres años, comenta a partir de una fotografía que un niño tiene el pelo largo como él, entre otras.",Identidad y Autonomía,"Comunicar algunos rasgos de su identidad, como su nombre, sus características corporales, género y otros.",Nivel Medio Mayor,,1
"Usa expresiones positivas acerca de sus características personales, sus logros y sus habilidades. Ejemplo: dice soy muy bueno para saltar , hice una torre muy grande , me gusta ser niña , entre otros.",Identidad y Autonomía,"Apreciar sus características identitarias, fortalezas y habilidades.",Nivel Medio Mayor,,1
"Realiza sus prácticas de vestimenta, alimentación e higiene bucal y corporal. Ejemplo: se lava las manos, se peina, se coloca y saca prendas sencillas como una polera o los zapatos, come gran parte de su comida solo, entre otros.",Identidad y Autonomía,"Manifestar progresiva independencia en sus prácticas de alimentación, vigilia y sueño, vestimenta, higiene corporal, bucal y evacuación.",Nivel Medio Mayor,,1
Comunica verbal o gestualmente la necesidad de evacuación anal o esical y realiza esta práctica de manera autónoma. Ejemplo: avisa con tiempo para dirigirse al baño sin orinarse en el camino y el adulto solo lo acompaña.,Identidad y Autonomía,"Manifestar progresiva independencia en sus prácticas de alimentación, vigilia y sueño, vestimenta, higiene corporal, bucal y evacuación.",Nivel Medio Mayor,,2
Manifiesta satisfacción al realizar algunos desafíos,Identidad y Autonomía,"Manifestar satisfacción y confianza por su autovalía, comunicando algunos desafíos alcanzados, tales como: saltar, hacer torres, sacar cáscara de huevos, entre otros.",Nivel Medio Mayor,,1
"Nombra o señala alimentos que se consumen en celebraciones de su comunidad. Ejemplo: las empanadas en el 18 de septiembre, el pan de pascua en la navidad, catuto en el We Tripantu, entre otros.",Identidad y Autonomía,Identificar alimentos que se consumen en algunas celebraciones propias de su familia y comunidad.,Nivel Medio Mayor,,1
Realiza juegos de roles,Identidad y Autonomía,"Representar sus pensamientos y experiencias, atribuyendo significados a objetos o elementos de su entorno, usando la imaginación en situaciones de juego.",Nivel Medio Mayor,,1
"Juega con otros niños de manera colaborativa para alcanzar un objetivo común. Ejemplo: realizan un collage o maqueta, entre otros.",Convivencia y Ciudadanía,"Participar en actividades y juegos grupales con sus pares, conversando, intercambiando pertenencias, cooperando.",Nivel Medio Mayor,,1
"Conversa, juega o se acerca a distintas personas de su comunidad educativa. Ejemplo: se acerca a otras tías, juega con niños de otras salas, observa a los papás que llegan al jardín, entre otros.",Convivencia y Ciudadanía,Disfrutar de instancias de interacción social con diversas personas de la comunidad.,Nivel Medio Mayor,,1
"Ayuda a sus compañeros a responder a necesidades que puedan tener en distintas situaciones cotidianas y juegos. Ejemplo: le entrega los lápices a una niña que quiere pintar, ayuda a un niño que se ha caído, comparte un trozo de manzana cuando su compañero también tiene hambre, entre otros.",Convivencia y Ciudadanía,"Colaborar en situaciones cotidianas y de juego, proponiendo acciones simples frente a necesidades que presentan sus pares",Nivel Medio Mayor,,1
"Participa en la preparación o desarrollo de distintas celebraciones de su comunidad educativa. Ejemplo: baila en una presentación, colabora en el armado de guirnaldas, ayuda a pintar parte del escenario, entre otras.",Convivencia y Ciudadanía,"Colaborar en actividades, conmemoraciones o celebraciones culturales de su familia y comunidad.",Nivel Medio Mayor,,1
"Nombra o señala formas pacíficas para abordar conflictos que se dan en situaciones cotidianas. Ejemplo: ante dos niñas que quieren un mismo autito, dice que pueden turnarse, que pueden jugar juntas, que pueden sortearlo, entre otros.",Convivencia y Ciudadanía,"Iniciarse en la resolución pacífica de conflictos, dialogando respecto de la situación, escuchando, opinando y proponiendo acciones para resolver",Nivel Medio Mayor,,1
"Acepta respetar los acuerdos de convivencia que enmarcan el desarrollo de las actividades. Ejemplo: dice que va a respetar su turno, intenta no empujar, tiene disposición para escuchar a sus compañeros, entre otros.",Convivencia y Ciudadanía,Manifestar disposición para practicar acuerdos de convivencia básica que regulan situaciones cotidianas y juegos.,Nivel Medio Mayor,,1
"Nombre o señala objetos y situaciones que pueden afectar la seguridad y bienestar de sus compañeros. Por ejemplo: jugar a las peleas, tirar tierra al aire, entre otras.",Convivencia y Ciudadanía,"Identificar objetos, comportamientos y situaciones de riesgo que pueden atentar contra su seguridad, bienestar y el de los demás.",Nivel Medio Mayor,,1
"Nombra o señala acciones correctas e incorrectas para la convivencia del grupo. Ejemplo: dice “no es bueno pegarle a un compañero , entre otras.",Convivencia y Ciudadanía,"Reconocer acciones correctas e incorrectas para la convivencia armónica del grupo, que se presentan en diferentes situaciones cotidianas y juegos",Nivel Medio Mayor,,1
"Realiza preguntas o solicita que se respeten algunos de los derechos de los niños. Ejemplo: le dice a un compañero que no le grite, pregunta por el nombre de un personaje de cuentos, entre otros.",Convivencia y Ciudadanía,"Manifestar interés por algunos de sus derechos, tales como: ser escuchados, tener un nombre, jugar, entre otros.",Nivel Medio Mayor,,9
"Juega con todos los niños y niñas, sin excluirlos en razón de su apariencia, origen étnico, género, etc.",Convivencia y Ciudadanía,"Manifestar interés para interactuar con niños y niñas, reconociendo la diversidad de sus características y formas de vida (costumbres, fisonomía, lingüística, entre otras).",Nivel Medio Mayor,,10
"Comunica verbal o gestualmente cuando le agrada o desagrada algo corporalmente, intentado mantener o retomar el bienestar corporal. Ejemplo: dice que se cansó de estar en cuclillas y se para a estirarse, busca un cojín porque dice que no le gusta sentarse en el piso frío, entre otras.",Corporalidad y movimiento,"Reconocer situaciones en que se siente cómodo corporalmente, manifestando al adulto su bienestar y su interés por mantener estas condiciones",Nivel Medio Menor,,1
"Dice algunas características y funciones de las partes de su cuerpo. Ejemplo: reconoce que la lengua sirve para saborear, dice de qué color son sus ojos, cuenta que con los brazos puede abrazar muy fuerte, entre otros.",Corporalidad y movimiento,"Reconocer las principales partes, características físicas de su cuerpo y sus funciones en situaciones cotidianas y de juego.",Nivel Medio Menor,,1
"Juega realizando diversas acciones con su cuerpo y nombra dichas acciones. Ejemplo: dice que mueve la cabeza hacia adelante y atrás para bailar una canción, dice que al escuchar stop debe quedarse quieto, entre otras.",Corporalidad y movimiento,"Experimentar diversas posibilidades de acción con su cuerpo, en situaciones cotidianas y de juego, identificando progresivamente el vocabulario asociado.",Nivel Medio Menor,,1
Nombra o señala las sensaciones que le generan moverse y jugar libremente.,Corporalidad y movimiento,"Reconocer el bienestar que le produce el movimiento libre en situaciones cotidianas y lúdicas, manifestando su interés por desarrollarlo en forma frecuente.",Nivel Medio Menor,,1
"Usa coordinadamente ambas manos en distintas actividades de manipulación cotidianas. Ejemplo: abotonar y desabotonar, enhebrar cuentas, trasvasijar de un vaso a otro, entre otras.",Corporalidad y movimiento,"Perfeccionar su coordinación visomotriz fina, a través del uso de diversos objetos, juguetes y utensilios.",Nivel Medio Menor,,1
"Corre y salta variando la dirección, velocidad y uso de implementos.",Corporalidad y movimiento,"Adquirir control y equilibrio en movimientos, posturas y desplazamientos que realiza en diferentes direcciones y en variadas situaciones cotidianas y juegos, con y sin implementos",Nivel Medio Menor,,1
Incorpora mayor presición y coordinación en los movimientos y desplazamientos.,Corporalidad y movimiento,"Resolver desafíos prácticos en situaciones cotidianas y juegos, incorporando mayor precisión y coordinación en la realización de posturas, movimientos y desplazamientos, tales como: esquivar obstáculos o mantener equilibrio al subir escalas.",Nivel Medio Menor,,1
Resuelve desafíos en situaciones cotinidanas y juegos: esquiva obstáculos.,Corporalidad y movimiento,"Resolver desafíos prácticos en situaciones cotidianas y juegos, incorporando mayor precisión y coordinación en la realización de posturas, movimientos y desplazamientos, tales como: esquivar obstáculos o mantener equilibrio al subir escalas.",Nivel Medio Menor,,2
Sigue indicaciones de orientación espacial: arriba/abajo.,Corporalidad y movimiento,"Utilizar categorías de ubicación espacial y temporal, tales como: adelante/atrás, arriba/ abajo, adentro/afuera, antes/ después, rápido/lento, en situaciones cotidianas y lúdicas.",Nivel Medio Menor,,1
Se ubica siguiendo indicaciones de orientación espacial: adentro/afuera,Corporalidad y movimiento,"Utilizar categorías de ubicación espacial y temporal, tales como: adelante/atrás, arriba/ abajo, adentro/afuera, antes/ después, rápido/lento, en situaciones cotidianas y lúdicas.",Nivel Medio Menor,,2
"Relata una historia, cuento o experiencia personal de un modo comprensible utilizando patrones gramaticales básicos (oraciones con sujeto y predicado, verbos conjugados, entre otros), aun cuando haya errores.",Lenguaje Verbal,"Expresarse oralmente, empleando estructuras oracionales simples y respetando patrones gramaticales básicos, en distintas situaciones cotidianas y juegos.",Nivel Medio Mayor,,1
"Responde a instrucciones sencillas y preguntas relativas a acciones, tiempo y lugar. Ejemplo: transmite un recado, responde a la pregunta ¿qué hicimos antes de almorzar? , entre otros.",Lenguaje Verbal,"Comprender mensajes simples como instrucciones explícitas, explicaciones y preguntas relativas a objetos, personas, acciones, tiempo y lugar, identificando la intencionalidad comunicativa de diversos interlocutores.",Nivel Medio Mayor,,1
"Nombra o señala algunas características (fuerte, suave, rápido, lento) de distintos sonidos. Ejemplo: señala una canción que es rápida, entre otros.",Lenguaje Verbal,"Identificar algunos atributos de los sonidos de diferentes fuentes sonoras como intensidad (fuerte/suave), velocidad (rápido/lento).",Nivel Medio Mayor,,1
"Usa palabras nuevas (sustantivos, verbos, adjetivos, artículos y pronombres) al contar temas de su interés. Ejemplo: los dinosaurios eran muy grandes y comían mucho, entre otros.",Lenguaje Verbal,"Incorporar progresivamente nuevas palabras, al comunicar oralmente temas variados de su interés e información básica, en distintas situaciones cotidianas.",Nivel Medio Mayor,,1
"Escucha con atención distintos tipos de textos de su preferencia. Ejemplo: se mantiene atento, sonríe, realiza preguntas sobre personajes del cuento, entre otras.",Lenguaje Verbal,"Manifestar interés por descubrir el contenido de textos de diferentes formatos, a través de la manipulación, la exploración, la escucha atenta y la formulación de preguntas",Nivel Medio Mayor,,1
Cuenta con sus propias palabras algunas acciones de un cuento conocido.,Lenguaje Verbal,"Comprender a partir de la escucha atenta, contenidos explícitos de textos literarios y no literarios, reconociendo ideas centrales, señalando preferencias, realizando sencillas descripciones, preguntando sobre el contenido.",Nivel Medio Mayor,,1
"Dice el significado de imágenes, logos y símbolos de su entorno cotidiano. Ejemplo: ante la señal Pare, dice que no hay que seguir caminando o andando en auto, entre otros.",Lenguaje Verbal,"Reconocer progresivamente el significado de diversas imágenes, logos, símbolos de su entorno cotidiano, en diversos soportes (incluye uso de TICs).",Nivel Medio Mayor,,1
"Juega a escribir, realizando diversos trazos a los que les atribuye un significado, intentando seguir las formas de las letras. Ejemplo: intenta escribir su nombre o la palabra mamá, entre otras.",Lenguaje Verbal,Producir sus propios signos gráficos en situaciones lúdicas.,Nivel Medio Mayor,,1
"Nombra, pregunta o comenta sobre características (materiales, ritmos, colores, tamaño, entre otros) que le llaman la atención de algunas producciones artísticas (pinturas, arquitectura, escultura, danza, música, entre otras).",Lenguaje Artístico,"Manifestar interés por diversas producciones artísticas (arquitectura, modelado, piezas musicales, pintura, dibujos, títeres, obras de teatro, danzas, entre otras), describiendo algunas características",Nivel Medio Mayor,,1
"Dice qué recursos expresivos le gustan de diversas expresiones artísticas junto con las emociones y sensaciones que le provocan. Ejemplo: le gusta la foto porque salen niños jugando, dice que la pintura tiene muchos colores y que es muy alegre, entre otros.",Lenguaje Artístico,"Expresar sus preferencias, sensaciones y emociones relacionadas con diferentes recursos expresivos que se encuentran en sencillas obras visuales (colorido, formas), musicales (fuente, intensidad del sonido) o escénicas (desplazamiento, vestimenta, carácter expresivo).",Nivel Medio Mayor,,1
